Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Barbara Ester Unit,State,Arkansas,Pine Bluff,71603,"Barbara Ester Unit
7500 Corrections Circle
Pine Bluff, AR 71603","Ester Unit
7500 Corrections Circle
Pine Bluff, AR 71603",870-267-6240,https://doc.arkansas.gov/correction/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton Unit,State,Arkansas,Benton,72015-8488,"Benton Unit
6701 Highway 67
Benton, AR 72015-8488","Benton Unit
6701 Highway 67
Benton, AR 72015-8488",501-315-2252,https://doc.arkansas.gov/facilities/benton-unit/,https://doc.arkansas.gov/correction/inmates/mail-and-money/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cummins Unit,State,Arkansas,Gould,71643,"Cummins Unit
2540 Highway 388
Gould, AR 71643","Cummins Unit
P.O. Box 500
Grady, AR 71644-0500",870-850-8899,https://doc.arkansas.gov/correction/?show=10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Regional Unit,State,Arkansas,Dermott,71638-9505,"Delta Regional Unit
880 East Gaines
Dermott, AR 71638-9505","Delta Regional Unit
880 East Gaines
Dermott, AR 71638-9505",870-538-2000,https://doc.arkansas.gov/correction/?show=10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Arkansas Regonal Unit,State,Arkansas,Marianna,72360,"East Arkansas Regonal Unit
326 Lee 601
Marianna, AR 72360","East Arkansas Regional Unit
P.O. Box 180
Brickeys, AR 72320",870-295-4700,https://doc.arkansas.gov/correction/?show=10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimes Unit,State,Arkansas,Newport,72112,"Grimes Unit
300 Corrections Drive
Newport, AR 72112","Grimes Unit
300 Corrections Drive
Newport, AR 72112",870-523-5877,https://doc.arkansas.gov/facilities/grimes-unit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Aaron Hawkins Sr Center,State,Arkansas,Wrightsville,72183,"J. Aaron Hawkins Sr Center
22526 Asher Road
Wrightsville, AR 72183","J. Aaron Hawkins Sr Center
P.O. Box 1010
Wrightsville, AR 72183",501-897-2256,https://doc.arkansas.gov/facilities/j-aaron-hawkins-sr-center/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Security Unit,State,Arkansas,Tucker,72168-8713,"Maximum Security Unit
2501 State Farm Rd
Tucker, AR 72168-8713","Maximum Security Unit
2501 State Farm Rd
Tucker, AR 72168-8713",501-842-3800,https://doc.arkansas.gov/facilities/maximum-security-unit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McPherson Unit,State,Arkansas,Newport,72112,"McPherson Unit
302 Corrections Drive
Newport, AR 72112","McPherson Unit
302 Corrections Drive
Newport, AR 72112",870-523-2639,https://doc.arkansas.gov/facilities/mcpherson-unit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi County Work Release,County Jail,Arkansas,Luxora,72358,"Mississippi County Work Release
727 North County Road 599
Luxora, AR 72358","Mississippi County Work Release
P.O. Box 10
Luxora, AR 72358-0010",870-658-2214,https://doc.arkansas.gov/facilities/mississippi-county-work-release-center/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Central Unit,State,Arkansas,Calco Rock,72519,"North Central Unit
10 Prison Circle
Calco Rock, AR 72519","North Central Unit
10 Prison Circle
Calco Rock, AR 72519",870-297-4311,https://doc.arkansas.gov/facilities/benny-magness-unit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest Arkansas Work Release Center,State,Arkansas,Springdale,72764,"Northwest Arkansas Work Release Center
600 West Sunset Avenue
Springdale, AR 72764","Northwest Arkansas Work Release Center
600 West Sunset Avenue
Springdale, AR 72764",479-756-2037,https://doc.arkansas.gov/facilities/northwest-arkansas-work-release-center/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ouachita River Correctional Unit,State,Arkansas,Malvern,72104,"Ouachita River Correctional Unit
100 Walco Lane
Malvern, AR 72104","Ouachita River Correctional Unit
P.O. Box 1630
Malvern, AR 72104",501-467-3400,https://doc.arkansas.gov/facilities/ouachita-river-unit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Bluff Unit,State,Arkansas,Pine Bluff,71603-1498,"Pine Bluff Unit
890 Free Line Drive
Pine Bluff, AR 71603-1498","Pine Bluff Unit
890 Free Line Drive
Pine Bluff, AR 71603-1498",870-267-6510,https://doc.arkansas.gov/facilities/pine-bluff-unit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randall L. Williams Correctional Facility,State,Arkansas,Pine Bluff,71603,"Randall L. Williams Correctional Facility
7206 West 7th Avenue
Pine Bluff, AR 71603","Randall L. Williams Correctional Facility
7206 West 7th Avenue
Pine Bluff, AR 71603",870-267-6800,https://doc.arkansas.gov/facilities/randall-l-williams-correctional-facility/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texarkana Regional Correctional Center,State,Arkansas,Texarkana,71854,"Texarkana Regional Correctional Center
305 East 5th Street
Texarkana, AR 71854","Texarkana Regional Correctional Center
305 East 5th Street
Texarkana, AR 71854",870-779-3939,https://doc.arkansas.gov/facilities/texarkana-regional-correction-center/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Unit,State,Arkansas,Tucker,72168,"Tucker Unit
2400 State Farm Road
Tucker, AR 72168","Tucker Unit
P.O. Box 240
Tucker, AR 72168-0240",501-842-2519,https://doc.arkansas.gov/facilities/tucker-unit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varner/Varner Supermax Unit,State,Arkansas,Gould,71643,"Varner/Varner Supermax Unit
320 Highway 388
Gould, AR 71643","Varner/Varner Supermax Unit
P.O. Box 600
Grady, AR 71644-0600",870-575-1800,https://doc.arkansas.gov/facilities/varner-varner-supermax-unit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrightsville Unit,State,Arkansas,Wrightsville,72183,"Wrightsville Unit
8400 Hwy. 386
Wrightsville, AR 72183","Wrightsville Unit
P.O. Box 1000
Wrightsville, AR 72183-1000",501-897-2901,https://doc.arkansas.gov/facilities/wrightsville-unit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxter County Jail,State,Arkansas,W. Mountain Home,72653,"Baxter County Jail
904 Hwy 62 
W. Mountain Home, AR 72653","Baxter County Jail
904 Hwy 62 
W. Mountain Home, AR 72653",870.425.7000,https://www.baxtercountysheriff.com/inmate-roster/filters/current/booking_time=desc/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton County Jail,State,Arkansas,Bentonville,72712,"Benton County Jail
1300 SW 14th St.
entonville, AR 72712","Benton County Jail
1300 SW 14th St.
entonville, AR 72712",(479) 271-1008 ,https://sheriff.bentoncountyar.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catoosa County Jail,State,,Ringgold,30736,,"Catoosa County Jail
P.O. Box 909 
Ringgold, GA 30736",706-935-2424,https://www.catoosacountysheriff.com/httpcatoosacoga-offenderindex-com/,https://www.catoosacountysheriff.com/httpcatoosacoga-offenderindex-com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobb County Sheriff’s Office,State,,Marietta,30008,"Cobb County Sheriff’s Office
1825 County Services Parkway
Marietta, GA 30008","Cobb County Sheriff’s Office
P.O. Box 247
Phoenix, MD 21131",(770) 499-4200,https://www.cobbsheriff.org/inmates/adult-detention-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia County Jail,County Jail,Arkansas,Magnolia,71753,"Columbia County Jail
82 Columbia Rd 300
Magnolia, AR 71753",,(870) 234-5331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross County Sheriff's Office,State,Arkansas,Wynne,72396,"Cross County Sheriff's Office
1600 S Falls Blvd
Wynne, AR 72396",,(870) 238-5700,https://www.crosscountysheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independence County Jail,County Jail,Arkansas,Batesville,72501,"Independence County Jail
569 W Main St
Batesville, AR 72501",,(870) 612-6880,https://www.independencesheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison County Jail Arkansas,County Jail,Arkansas,Huntsville,72740,"Madison County Jail Arkansas
220 North Gaskill
Huntsville, AR 72740",,(479) 738-2320,https://mcso.ar.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poinsett County Jail,County Jail,Arkansas,Harrisburg,72432,"Poinsett County Jail
1500 Justice Ln
Harrisburg, AR 72432",,(870) 578-2116,https://www.poinsettsheriffar.gov/detention-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Francis County Sheriff,County Jail,Arkansas,Forrest City,72335,"St Francis County Sheriff
313 S Izard St #8
Forrest City, AR 72335",,(870) 633-2611,https://www.stfranciscountysheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union County Jail,County Jail,Arkansas,El Dorado,71730,"Union County Jail
250 American Rd
El Dorado, AR 71730",,(870) 864-1970,https://www.unioncountysheriff.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington County Courthouse,County Jail,Arkansas,Fayetteville,72701,"Washington County Courthouse
280 N College Ave
Fayetteville, AR 72701",,,https://www.washingtoncountyar.gov/government/departments-f-z/sheriff/detention-information,https://www.washingtoncountyar.gov/home/showpublisheddocument/8207/636119604316070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,