Name of the Facility,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Algoa Correctional Center,State,Missouri,Jefferson City,65101,"Algoa Correctional Center
8501 No More Victims Road
Jefferson City, MO 65101","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(573)-751-3911,https://doc.mo.gov/node/376,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boonville Correctional Center,State,Missouri,Boonville,65233-1300,"Boonville Correctional Center
1216 East Morgan Street
Boonville, MO 65233-1300","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(660)-882-6521,https://doc.mo.gov/node/381,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chillicothe Correctional Center,State,Missouri,Chillicothe,64601,"Chillicothe Correctional Center
3151 Litton Road
Chillicothe, MO 64601","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(660)-646-4032,https://doc.mo.gov/chillicothe-correctional-center-0,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads Correctional Center,State,Missouri,Cameron,64429,"Crossroads Correctional Center
1115 East Pence Road
Cameron, MO 64429","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(816)-632-2727,https://doc.mo.gov/node/391,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastern Reception, Diagnostic and Correctional Center",State,Missouri,Bonne Terre,63628,"Eastern Reception, Diagnostic and Correctional Center
2727 Highway K
Bonne Terre, MO 63628","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(573)-358-5516,https://doc.mo.gov/node/401,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmington Correctional Center,State,Missouri,Farmington,63640,"Farmington Correctional Center
1012 West Columbia Street
Farmington, MO 63640","Farmington Correctional Center
1012 West Columbia Street
Farmington, MO 63640",(573)-218-7100,https://doc.mo.gov/node/436,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton Reception and Diagnostic Center,State,Missouri,Fulton,65251,"Fulton Reception and Diagnostic Center
1393 Highway O
Fulton, MO 65251","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(573)-592-4040,https://doc.mo.gov/node/441,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson City Correctional Center,State,Missouri,Jefferson City,65101,"Jefferson City Correctional Center
8200 No More Victims Road
Jefferson City, MO 65101","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(573)-751-3224,https://doc.mo.gov/node/521,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryville Treatment Center,State,Missouri,"Maryville, ",64468,"Maryville Treatment Center
30227 US Highway 136
Maryville, MO 64468","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(660)-582-6542,https://doc.mo.gov/node/446,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri Eastern Correctional Center,State,Missouri,Pacific,63069,"Missouri Eastern Correctional Center
18701 US Highway 66
Pacific, MO 63069","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(636)-257-3322,https://doc.mo.gov/node/531,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moberly Correctional Center,State,Missouri,Moberly,65270,"Moberly Correctional Center
5201 South Morley
Moberly, MO 65270","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(660)-263-3778,https://doc.mo.gov/node/536,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Correctional Center,State,Missouri,Bowling Green,63334,"Northeast Correctional Center
13698 Airport Road
Bowling Green, MO 63334","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(573)-324-9975,https://doc.mo.gov/node/456,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozark Correctional Center,State,Missouri,"Fordland,",65652,"Ozark Correctional Center
929 Honor Camp Lane
Fordland, MO 65652","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(417)-767-4491,https://doc.mo.gov/node/451,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potosi Correctional Center,State,Missouri,Mineral Point,63660,"Potosi Correctional Center
11593 State Highway O
Mineral Point, MO 63660","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(573)-438-6000,https://doc.mo.gov/node/541,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Central Correctional Center,State,Missouri,Mineral Point,63660,"Potosi Correctional Center
11593 State Highway O
Mineral Point, MO 63660","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(573)-438-6000,https://doc.mo.gov/node/546,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Correctional Center,State,Missouri,Charleston,63834,"Southeast Correctional Center
300 East Pedro Simmons Drive
Charleston, MO 63834","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(573)-683-4409,https://doc.mo.gov/node/546,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Correctional Center,State,Missouri,Charleston,63834,"Southeast Correctional Center
300 East Pedro Simmons Drive
Charleston, MO 63834","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(573)-683-4409,https://doc.mo.gov/node/551,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipton Correctional Center,State,Missouri,Tipton,65081,"Tipton Correctional Center
619 North Osage Avenue
Tipton, MO 65081","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-567",(660)-433-2031,https://doc.mo.gov/node/556,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Missouri Correctional Center,State,Missouri,Camern,64429,"Western Missouri Correctional Center
609 East Pence Road
Cameron, MO 64429","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(816)-632-1390,https://doc.mo.gov/media-center/newsroom/staff-news/local-news/western-missouri-correctional-center-wmcc,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Western Reception, Diagnostic and Correctional Center",State,Missouri,St. Joseph,64506,"Western Reception, Diagnostic and Correctional Center
3401 Faraon
St. Joseph, MO 64506","C/O Digital Mail Center-Missouri DOC
PO Box 25678
Tampa, FL 33622-5678",(816)-387-2158,https://doc.mo.gov/node/466,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Western Reception, Diagnostic and Correctional Center",State,Missouri,Vandalia,63382,"1101 East Highway 54
Vandalia, MO 63382","PO Box 25678
Tampa, FL 33622-5678",(573)-594-6686,https://doc.mo.gov/node/466,https://doc.mo.gov/programs/family-friends/mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,